Berom,English
gwining,1
beba,2
betat,3
banaas,4
betungun,5
batyiimin,6
betaama,7
rwit,8
shanetat,9
kuru,10
kuru na wɛ gwining,11
kuru na ne beba,12
kuru na nɛ netat,13
kuru na ne banaas,14
kuru na vɛ betungun,15
kuru na vɛ batyiimin,16
kuru na nɛ netaama,17
kuru na nɛ rwit,18
kuru na nɛ shanetat,19
kuru baba,20
kuru baba na wɛ gwining,21
kuru baba na vɛ beba,22
kuru baba na vɛ betat,23
kuru baba na vɛ benaas,24
kuru baba na vɛ betungun,25
kuru baba na vɛ batyiimin,26
kuru baba na nɛ netaama,27
kuru beba ba ne rwit,28
kuru beba na ne shenatat,29
kuru batat,30
kuru bata na wɛ gwining,31
kuru batat na vɛ beba,32
kuru batat na vɛ betat,33
kuru batat na vɛ benaas,34
kuru batat na vɛ betungun,35
kuru batat na vɛ batyiimin,36
kuru batat na nɛ netaama,37
kuru batat na vɛ rwit,38
kuru batat na nɛ shanetat,39
kuru banaas,40
kuru banaas na wɛ gwining,41
kuru banaas  na vɛ beba,42
kuru banaas na vɛ betat,43
kuru banaas na vɛ benaas,44
kuru banaas na vɛ betungun,45
kuru banaas na vɛ batyiimin,46
kuru banaas na nɛ netaama,47
kuru banaas na vɛ rwit,48
kuru banaas na nɛ shanetat,49
kuru betungun,50
kuru betungun na wɛ gwining,51
kuru betungun  na vɛ beba,52
kuru betungun na vɛ betat,53
kuru betungun na vɛ benaas,54
kuru betungun na vɛ betungun,55
kuru betungun na vɛ batyiimin,56
kuru betungun na nɛ netaama,57
kuru betungun na vɛ rwit,58
kuru betungun na nɛ shanetat,59
kuru batyiimin,60
kuru batyiimin na wɛ gwining,61
kuru batyiimin  na vɛ beba,62
kuru batyiimin na vɛ betat,63
kuru batyiimin na vɛ benaas,64
kuru batyiimin na vɛ betungun,65
kuru batyiimin na vɛ batyiimin,66
kuru batyiimin na nɛ netaama,67
kuru batyiimin na vɛ rwit,68
kuru batyiimin na nɛ shanetat,69
kuru betaama,70
kuru betaama na wɛ gwining,71
kuru betaama  na vɛ beba,72
kuru betaama na vɛ betat,73
kuru betaama na vɛ benaas,74
kuru betaama na vɛ betungun,75
kuru betaama na vɛ batyiimin,76
kuru betaama na nɛ netaama,77
kuru betaama na vɛ rwit,78
kuru betaama na nɛ shanetat,79
kuru rwit,80
kuru rwit na wɛ gwining,81
kuru rwit  na vɛ beba,82
kuru rwit na vɛ betat,83
kuru rwit na vɛ benaas,84
kuru rwit na vɛ betungun,85
kuru rwit na vɛ batyiimin,86
kuru rwit na nɛ netaama,87
kuru rwit na vɛ rwit,88
kuru rwit na nɛ shanetat,89
kuru shanetat,90
kuru shanetat na wɛ gwining,91
kuru shanetat na vɛ beba,92
kuru shanetat na vɛ betat,93
kuru shanetat na vɛ benaas,94
kuru shanetat na vɛ betungun,95
kuru shanetat na vɛ batyiimin,96
kuru shanetat na nɛ netaama,97
kuru shanetat na vɛ rwit,98
kuru shanetat na nɛ shanetat,99
naga,100
naga na wɛ gwining,101
naga na ne beba,102
naga na nɛ netat,103
naga na ne banaas,104
